Sn,Sex,District Code,School,Weight,Program,University ,Intake Year
1024,F,37,SEETA HIGH SCHOOL-MUKONO,53.3,Bachelor Of Social Work,MAK,2024/25
1025,F,118,"ST.JOSEPH'S S S, NAGGALAMA",53.3,Bachelor Of Social Work,MAK,2024/25
1026,F,75,MIDLAND HIGH SCHOOL LUWEERO CAMPUS,53.3,Bachelor Of Social Work,MAK,2024/25
1027,F,101,SSEKE SENIOR SEC. SCHOOL,53.3,Bachelor Of Social Work,MAK,2024/25
1028,F,33,MASAKA SECONDARY SCHOOL,53.2,Bachelor Of Social Work,MAK,2024/25
1029,F,55,"GOD'S WAY HIGH SCHOOL, MAGANJO",52.6,Bachelor Of Social Work,MAK,2024/25
1030,M,55,"KING'S COLLEGE, BUDO",52.6,Bachelor Of Social Work,MAK,2024/25
1031,M,55,"ST.CHARLES LWANGA S.S., KASASA",52.4,Bachelor Of Social Work,MAK,2024/25
1032,M,53,MERRYLAND  HIGH SCHOOL,52.4,Bachelor Of Social Work,MAK,2024/25
1033,M,80,BUTIRU CHRISTIAN  COMPR. S S,52.1,Bachelor Of Social Work,MAK,2024/25
1034,M,101,MASAKA SECONDARY SCHOOL,52,Bachelor Of Social Work,MAK,2024/25
1035,M,101,SSEKE SENIOR SEC. SCHOOL,52,Bachelor Of Social Work,MAK,2024/25
1036,M,51,GAYAZA CAMBRIDGE COLLEGE,52,Bachelor Of Social Work,MAK,2024/25
1037,M,25,SAVIOUR HIGH SCHOOL,52,Bachelor Of Social Work,MAK,2024/25
1038,F,37,"MT.ST.MARY'S, NAMAGUNGA",52,Bachelor Of Social Work,MAK,2024/25
1039,F,16,GAYAZA ROAD SECONDARY SCHOOL,53.8,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1040,F,55,"KING'S COLLEGE, BUDO",53.8,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1041,F,65,ALLIANCE SECONDARY SCHOOL,53.8,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1042,F,16,GAYAZA ROAD SECONDARY SCHOOL,53.3,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1043,M,119,AMUS COLLEGE SCHOOL,52.1,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1044,M,42,"ST MARY'S COLLEGE, KISUBI",51,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1045,M,136,NAMILYANGO COLLEGE,51,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1046,M,26,KISORO VISION,50.9,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1047,F,55,JANAN S.S,50.8,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1048,M,55,"ST MARY'S COLLEGE, KISUBI",50.7,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1049,M,16,KOLOLO SECONDARY SCHOOL,50.6,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1050,M,48,"TESO COLLEGE, ALOET",50.5,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1051,M,16,KIBULI SECONDARY SCHOOL,50.4,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1052,M,6,NAMILYANGO COLLEGE,50.4,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1053,M,91,"CENTRAL COLLEGE, MITYANA",50.4,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1054,M,16,MENGO SECONDARY SCHOOL,50.3,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1055,M,32,"KING'S COLLEGE, BUDO",50.3,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1056,M,55,"NAALYA SEC. SCHOOL ,KAMPALA",50.3,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1057,M,16,KASUBI S.S.,50.3,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1058,F,40,"TRINITY COLLEGE, NABBINGO",49.8,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1059,F,55,KISOZI HIGH SCHOOL,49.6,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1060,F,55,SEETA HIGH SCHOOL-MUKONO,49.6,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1061,F,16,MERRYLAND  HIGH SCHOOL,49.5,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1062,F,55,MAKERERE COLLEGE SCHOOL,49.4,Bachelor Of Science In Quantity Surveying,MAK,2024/25
1063,F,55,SEETA HIGH SCHOOL,41.8,Bachelor Of Statistics,MAK,2024/25
1064,F,16,"UGANDA MARTYRS S.S., NAMUGONGO",40.9,Bachelor Of Statistics,MAK,2024/25
1065,F,69,KITAGATA HIGH SCHOOL,40.6,Bachelor Of Statistics,MAK,2024/25
1066,F,53,RUBAGA GIRLS' SCHOOL,39.9,Bachelor Of Statistics,MAK,2024/25
1067,M,127,WISDOM HIGH SCHOOL,39.9,Bachelor Of Statistics,MAK,2024/25
1068,F,101,MASAKA SECONDARY SCHOOL,39.7,Bachelor Of Statistics,MAK,2024/25
1069,F,55,MERRYLAND  HIGH SCHOOL,39.6,Bachelor Of Statistics,MAK,2024/25
1070,M,50,MENGO SECONDARY SCHOOL,39.5,Bachelor Of Statistics,MAK,2024/25
1071,F,55,"ST.JOSEPH'S S S, NAGGALAMA",39.4,Bachelor Of Statistics,MAK,2024/25
1072,M,16,MENGO SECONDARY SCHOOL,39.4,Bachelor Of Statistics,MAK,2024/25
1073,M,7,"ST.MARY'S COLLEGE, LUGAZI",39.3,Bachelor Of Statistics,MAK,2024/25
1074,F,86,KITENDE S S,39,Bachelor Of Statistics,MAK,2024/25
1075,M,76,"KING'S COLLEGE, BUDO",38.8,Bachelor Of Statistics,MAK,2024/25
1076,F,6,NANSANA S. S.,38.7,Bachelor Of Statistics,MAK,2024/25
1077,M,37,"KING'S COLLEGE, BUDO",38.7,Bachelor Of Statistics,MAK,2024/25
1078,M,50,OURLADY OF AFRICA SS NAMILYANGO,38.6,Bachelor Of Statistics,MAK,2024/25
1079,F,72,BISHOP'SGIRLSSCHOOL -  RUSHERE,38.6,Bachelor Of Statistics,MAK,2024/25
1080,M,118,BOSTON HIGH SCHOOL,38.5,Bachelor Of Statistics,MAK,2024/25
1081,M,115,MENGO SECONDARY SCHOOL,38.4,Bachelor Of Statistics,MAK,2024/25
1082,F,26,KISORO VISION,38.4,Bachelor Of Statistics,MAK,2024/25
1083,M,55,"ST.MARY'S COLLEGE, LUGAZI",38.4,Bachelor Of Statistics,MAK,2024/25
1084,F,55,"UGANDA MARTYRS S.S., NAMUGONGO",38.3,Bachelor Of Statistics,MAK,2024/25
1085,M,6,PLUS TWO HIGH SCHOOL,49.5,Bachelor Of Veterinary Medicine,MAK,2024/25
1086,F,133,ALLIANCE SECONDARY SCHOOL,48,Bachelor Of Veterinary Medicine,MAK,2024/25
1087,M,55,NDEJJE SECONDARY SCHOOL,47,Bachelor Of Veterinary Medicine,MAK,2024/25
1088,M,9,"ST.ANDREA KAHWA'S COL., HOIMA",46.9,Bachelor Of Veterinary Medicine,MAK,2024/25
1089,M,50,NTARE SCHOOL,46.9,Bachelor Of Veterinary Medicine,MAK,2024/25
1090,M,125,BUDINI SECONDARY SCHOOL,46.9,Bachelor Of Veterinary Medicine,MAK,2024/25
1091,M,2,"ST.ANDREA KAHWA'S COL., HOIMA",46.9,Bachelor Of Veterinary Medicine,MAK,2024/25
1092,M,65,ALLIANCE SECONDARY SCHOOL,46.9,Bachelor Of Veterinary Medicine,MAK,2024/25
1093,M,16,"KINAAWA HIGH SCHOOL, MUGONGO",46.9,Bachelor Of Veterinary Medicine,MAK,2024/25
1094,M,12,"ST.MARY'S COLLEGE, RUSHOROZA",46.8,Bachelor Of Veterinary Medicine,MAK,2024/25
1095,M,16,"KING'S COLLEGE, BUDO",46.8,Bachelor Of Veterinary Medicine,MAK,2024/25
1096,M,1,MUNTA ROYAL COLLEGE,46.8,Bachelor Of Veterinary Medicine,MAK,2024/25
1097,M,125,"KIIRA COLLEGE, BUTIKI",46.6,Bachelor Of Veterinary Medicine,MAK,2024/25
1098,M,117,"ST.MARY'S COLLEGE, RUSHOROZA",46.6,Bachelor Of Veterinary Medicine,MAK,2024/25
1099,M,55,ENTEBBE  SECONDARY SCHOOL,46.6,Bachelor Of Veterinary Medicine,MAK,2024/25
1100,F,4,"ST.JOSEPH'S S S, NAGGALAMA",45.5,Bachelor Of Veterinary Medicine,MAK,2024/25
1101,F,33,NDEJJE SECONDARY SCHOOL,45.4,Bachelor Of Veterinary Medicine,MAK,2024/25
1102,F,94,"ST.ANDREA KAHWA'S COL., HOIMA",45.4,Bachelor Of Veterinary Medicine,MAK,2024/25
1103,F,21,"MANDELA S S, HOIMA",45.3,Bachelor Of Veterinary Medicine,MAK,2024/25
1104,F,42,"BISHOP'S SEC. SCHOOL, MUKONO",45.3,Bachelor Of Veterinary Medicine,MAK,2024/25
1105,F,55,KISUBI MAPEERA S S,45.1,Bachelor Of Veterinary Medicine,MAK,2024/25
1106,F,18,ALLIANCE SECONDARY SCHOOL,45.1,Bachelor Of Veterinary Medicine,MAK,2024/25
1107,F,65,ALLIANCE SECONDARY SCHOOL,45,Bachelor Of Veterinary Medicine,MAK,2024/25
1108,F,33,"UGANDA MARTYRS S.S., NAMUGONGO",43.3,Bachelor Of Veterinary Medicine,MAK,2024/25
1109,F,34,MENGO SECONDARY SCHOOL ANNEX,54,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1110,F,14,"ST.JOSEPH'S S S, NAGGALAMA",53.9,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1111,F,6,"TRINITY COLLEGE, NABBINGO",53.6,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1112,F,96,IGANGA SECONDARY SCHOOL,53.5,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1113,F,42,NAGGALAMA ISLAMIC INSTITUTE,53.4,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1114,F,37,BUDDO SEC. SCHOOL,53.3,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1115,F,55,"GOD'S WAY HIGH SCHOOL, MAGANJO",53.3,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1116,F,23,"HOPEFUL FUTURE SS, KAYUNGA",52.8,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1117,M,42,"MADINAH ISLAMIC SS, NSANGI",52.3,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1118,M,55,PRIDE COLLEGE SCHOOL MPIGI,52.3,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1119,M,16,WAMPEWO NTAKE SEC. SCHOOL,52.1,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1120,M,55,SEETA HIGH SCHOOL - A' LEVEL CAMPUS,52.1,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1121,M,23,"HOPEFUL FUTURE SS, KAYUNGA",52,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1122,F,42,"ST.JOSEPH'S S S, NAGGALAMA",52,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1123,F,48,"GREENHILL ACADEMY, KAMPALA",51.9,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1124,F,55,MIDLAND HIGH SCHOOL,51.9,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1125,F,40,"ST. JUDE'S SECONDARY SCHOOL, KATENDE",51.9,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1126,M,16,MIDLAND HIGH SCHOOL,51.9,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1127,F,3,SEROMA CHRISTIAN HIGH SCHOOL,51.8,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1128,F,41,"SEETA H/S GREEN CAMPUS, MUKONO",51.8,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1129,M,11,JINJA PROGRESSIVE ANNEX,51.8,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1130,F,120,SEETA HIGH SCHOOL - A' LEVEL CAMPUS,51.8,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1131,F,31,HILTON HIGH SCHOOL,51.7,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1132,F,55,"EXODUS COLLEGE SCHOOL, MMENDE",51.7,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1133,F,101,"TRINITY COLLEGE, NABBINGO",51.7,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1134,F,42,GAYAZA HIGH SCHOOL,51.7,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1135,F,81,EKITANGAALA  TRANSFORMATION  H/S,51.7,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1136,F,55,GOMBE SECONDARY SCHOOL,51.7,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1137,F,55,BRILLIANT HIGH SCH. KAWEMPE,51.7,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1138,F,103,IMMACULATE HEART GIRLS SCHOOL,51.6,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1139,F,11,JINJA PROGRESSIVE ANNEX,51.6,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1140,F,32,BRILLIANT HIGH SCH. KAWEMPE,51.6,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1141,F,55,PRIDE COLLEGE SCHOOL MPIGI,51.6,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1142,F,41,KASENYI SECONDARY SCHOOL,51.6,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1143,F,55,MPOMA SATELITE CAMPUS,51.5,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1144,F,106,ST MARY'S SS  KITENDE,51.5,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1145,F,12,IMMACULATE HEART GIRLS SCHOOL,51.5,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1146,F,112,BWERANYANGI GIRLS' SCHOOL,51.5,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1147,F,55,BUDDO SEC. SCHOOL,51.5,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1148,F,37,ALLIANCE SECONDARY SCHOOL,51.5,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1149,F,42,MUBANDA SS,51.5,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1150,F,92,BROADWAY HIGH SCHOOL KAMPALA,51.5,Bachelor Of Business Computing (Mubs),MUBS,2024/25
1151,F,13,NABISUNSA GIRLS' SCHOOL,54,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1152,M,37,SEETA HIGH SCHOOL,52.7,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1153,F,42,"SEETA H/S GREEN CAMPUS, MUKONO",50.7,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1154,F,37,MENGO SECONDARY SCHOOL,50.5,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1155,M,16,ST MARY'S SS  KITENDE,50.4,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1156,M,16,MENGO SECONDARY SCHOOL ANNEX,49.9,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1157,M,108,"UGANDA MARTYRS S.S., NAMUGONGO",49.5,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1158,M,75,OURLADY OF AFRICA SS NAMILYANGO,49.3,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1159,M,37,SEETA HIGH SCHOOL,49.2,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1160,M,17,BUGULUMBYA S S,49.2,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1161,M,55,"NAALYA SEC. SCHOOL ,KAMPALA",49,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1162,F,55,KYADONDO SS,48.9,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1163,F,55,"MT.ST.MARY'S, NAMAGUNGA",48.9,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1164,M,132,CITIZEN'S SECONDARY SCHOOL,48.8,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1165,F,33,ST MARY'S SS  KITENDE,48.7,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1166,F,16,"MT.ST.MARY'S, NAMAGUNGA",48.7,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1167,F,37,SEETA HIGH SCHOOL-MUKONO,48.7,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1168,F,16,ST MARY'S SS  KITENDE,48.6,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1169,F,55,ST MARY'S SS  KITENDE,48.6,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1170,F,41,ST MARY'S SS  KITENDE,48.6,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1171,F,81,MENGO SECONDARY SCHOOL ANNEX,48.6,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1172,F,33,MASAKA SECONDARY SCHOOL,48.5,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1173,F,89,SEETA HIGH SCHOOL,48.2,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1174,F,55,BULOBA HIGH SCHOOL,48.1,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1175,F,55,SEETA HIGH SCHOOL,48,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1176,F,16,NABISUNSA GIRLS' SCHOOL,47.9,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1177,F,7,KAWEMPE MUSLIM SS,47.9,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1178,F,16,"ST.JOSEPH'S S S, NAGGALAMA",47.9,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1179,F,6,BP CYPRIAN KIHANGIRE SS LUZIRA,47.9,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1180,F,16,"UGANDA MARTYRS S.S., NAMUGONGO",47.9,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1181,F,16,ST. JULIANA HIGH SCHOOL -GAYA ANNEX,47.9,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1182,F,55,BUDDO SEC. SCHOOL,47.8,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1183,F,16,SEETA HIGH SCHOOL-MUKONO,47.8,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1184,F,55,ST. JULIANA HIGH SCHOOL -GAYA ANNEX,47.8,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1185,F,55,ST MARY'S SS  KITENDE,47.8,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1186,F,11,ST. JULIAN HIGH SCHOOL,47.7,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1187,F,55,SEETA HIGH SCHOOL - A' LEVEL CAMPUS,47.7,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1188,F,55,NAGGALAMA SENIOR SECONDARY SCHOOL,47.6,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1189,F,13,"ST. CYPRIAN HIGH SCHOOL, KYABAKADDE",47.6,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1190,F,67,AMUS COLLEGE SCHOOL,47.5,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1191,F,100,GOOD SHEPHERD HIGH SCHOOL,47.5,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1192,F,90,NAMAKWA S S,47.5,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1193,F,111,"NAALYA SEC. SCHOOL ,KAMPALA",47.4,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1194,F,55,"NAALYA SEC. SCHOOL ,KAMPALA",47.4,Bachelor Of Business Administration (Mubs),MUBS,2024/25
1195,F,55,ST MARY'S SS  KITENDE,53.9,Bachelor Of Entrepreneurship,MUBS,2024/25
1196,F,97,"MANDELA S S, HOIMA",53.7,Bachelor Of Entrepreneurship,MUBS,2024/25
1197,F,81,KYADONDO SS,53.5,Bachelor Of Entrepreneurship,MUBS,2024/25
1198,F,16,BILAL ISLAMIC INSTITUTE,53,Bachelor Of Entrepreneurship,MUBS,2024/25
1199,F,42,"ST.MARY'S COLLEGE, LUGAZI",52.9,Bachelor Of Entrepreneurship,MUBS,2024/25
1200,F,32,"ST.JOSEPH'S S S, NAGGALAMA",52.5,Bachelor Of Entrepreneurship,MUBS,2024/25
1201,F,40,SEROMA CHRISTIAN HIGH SCHOOL,52.4,Bachelor Of Entrepreneurship,MUBS,2024/25
1202,M,40,BUDDO CHRISTIAN S.S,52.3,Bachelor Of Entrepreneurship,MUBS,2024/25
1203,F,91,NAMUNGOONA HIGH SCHOOL,52.3,Bachelor Of Entrepreneurship,MUBS,2024/25
1204,M,9,"PREMIER SECONDARY SCHOOL, HOIMA",52.2,Bachelor Of Entrepreneurship,MUBS,2024/25
1205,F,77,SEETA HIGH SCHOOL-MUKONO,52,Bachelor Of Entrepreneurship,MUBS,2024/25
1206,M,53,SEETA HIGH SCHOOL-MUKONO,52,Bachelor Of Entrepreneurship,MUBS,2024/25
1207,F,16,MENGO SECONDARY SCHOOL,51.9,Bachelor Of Entrepreneurship,MUBS,2024/25
1208,F,112,SHEEMA GIRLS SCHOOL,51.7,Bachelor Of Entrepreneurship,MUBS,2024/25
1209,F,81,CHRIST THE KING GIRLS  S.S,51.7,Bachelor Of Entrepreneurship,MUBS,2024/25
1210,F,85,ST. JULIAN HIGH SCHOOL,51.7,Bachelor Of Entrepreneurship,MUBS,2024/25
1211,F,55,MAKERERE COLLEGE SCHOOL,51.7,Bachelor Of Entrepreneurship,MUBS,2024/25
1212,F,21,IMMACULATE HEART GIRLS SCHOOL,51.7,Bachelor Of Entrepreneurship,MUBS,2024/25
1213,F,91,"LIGHT COLLEGE, KATIKAMU",51.6,Bachelor Of Entrepreneurship,MUBS,2024/25
1214,F,31,"MARIAM HIGH SCHOOL, KAMPALA",51.6,Bachelor Of Entrepreneurship,MUBS,2024/25
1215,M,31,WISDOM HIGH SCHOOL,51.5,Bachelor Of Entrepreneurship,MUBS,2024/25
1216,F,55,"ST.JOSEPH'S S S, NAGGALAMA",51.5,Bachelor Of Entrepreneurship,MUBS,2024/25
1217,F,79,MT. ST. MARY'S HIGH SCHOOL - KAMMENGO,51.5,Bachelor Of Entrepreneurship,MUBS,2024/25
1218,F,55,MAKERERE COLLEGE SCHOOL,51.5,Bachelor Of Entrepreneurship,MUBS,2024/25
1219,F,129,MAKERERE COMPETENT HIGH SCHOOL,51.4,Bachelor Of Entrepreneurship,MUBS,2024/25
1220,F,68,ST. JOHN'S COLLEGE MPIGI,51.4,Bachelor Of Entrepreneurship,MUBS,2024/25
1221,F,55,JANAN S.S,51.4,Bachelor Of Entrepreneurship,MUBS,2024/25
1222,F,103,BWERANYANGI GIRLS' SCHOOL,51.4,Bachelor Of Entrepreneurship,MUBS,2024/25
1223,F,55,KYADONDO SS,51.4,Bachelor Of Entrepreneurship,MUBS,2024/25
1224,F,69,"ST.CHARLES LWANGA HS,KASHEKURO",51.4,Bachelor Of Entrepreneurship,MUBS,2024/25
1225,F,111,ST MARY'S SS  KITENDE,51.4,Bachelor Of Entrepreneurship,MUBS,2024/25
1226,F,16,SEETA HIGH SCHOOL,54.1,Bachelor Of International Business (Mubs),MUBS,2024/25
1227,F,2,BP CYPRIAN KIHANGIRE SS LUZIRA,53.8,Bachelor Of International Business (Mubs),MUBS,2024/25
1228,F,19,IMMACULATE HEART GIRLS SCHOOL,53.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1229,F,33,"BILAL ISLAMIC SEC. SCHOOL, BWAISE",53.6,Bachelor Of International Business (Mubs),MUBS,2024/25
1230,F,112,"SACRED HEART SS, MUSHANGA",53.4,Bachelor Of International Business (Mubs),MUBS,2024/25
1231,F,101,SSEKE SENIOR SEC. SCHOOL,53.3,Bachelor Of International Business (Mubs),MUBS,2024/25
1232,F,16,"MARIAM HIGH SCHOOL, KAMPALA",53.2,Bachelor Of International Business (Mubs),MUBS,2024/25
1233,F,33,"SUMMAYYA GIRLS S.S, NSANGI",53.2,Bachelor Of International Business (Mubs),MUBS,2024/25
1234,F,86,BEXILL HIGH SCHOOL,53,Bachelor Of International Business (Mubs),MUBS,2024/25
1235,M,55,KITENDE S S,52.4,Bachelor Of International Business (Mubs),MUBS,2024/25
1236,M,32,"MULUSA ACADEMY, LUWERO",52.3,Bachelor Of International Business (Mubs),MUBS,2024/25
1237,M,4,BUDINI SECONDARY SCHOOL,52.3,Bachelor Of International Business (Mubs),MUBS,2024/25
1238,F,42,ROYAL COLLEGE - NAMUGONGO,52.2,Bachelor Of International Business (Mubs),MUBS,2024/25
1239,M,55,QUEEN'S SECONDARY SCHOOL,52.1,Bachelor Of International Business (Mubs),MUBS,2024/25
1240,M,51,ST MARY'S SS  KITENDE,52.1,Bachelor Of International Business (Mubs),MUBS,2024/25
1241,M,55,RINES SECONDARY SCHOOL,52.1,Bachelor Of International Business (Mubs),MUBS,2024/25
1242,F,37,CHRIST THE KING SEC. SCHOOL,51.9,Bachelor Of International Business (Mubs),MUBS,2024/25
1243,F,37,IMMACULATE HEART GIRLS SCHOOL,51.9,Bachelor Of International Business (Mubs),MUBS,2024/25
1244,F,16,SEETA HIGH SCHOOL-MUKONO,51.8,Bachelor Of International Business (Mubs),MUBS,2024/25
1245,F,26,BUDDO SEC. SCHOOL,51.8,Bachelor Of International Business (Mubs),MUBS,2024/25
1246,F,55,KAWEMPE MUSLIM SS,51.8,Bachelor Of International Business (Mubs),MUBS,2024/25
1247,F,40,"K. GARDEN GROOVE COLLEGE, BUDDO",51.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1248,F,16,BP CYPRIAN KIHANGIRE SS LUZIRA,51.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1249,F,16,"SEETA H/S GREEN CAMPUS, MUKONO",51.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1250,M,37,ST. JOHN'S COLLEGE MPIGI,51.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1251,F,126,MITYANA SECONDARY SCHOOL,51.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1252,F,16,GOMBE SECONDARY SCHOOL,51.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1253,F,35,MT. ST. MARY'S HIGH SCHOOL - KAMMENGO,51.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1254,F,42,SEROMA CHRISTIAN HIGH SCHOOL,51.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1255,F,46,MARYHILL HIGH SCHOOL,51.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1256,F,55,EXCEL HIGH SCHOOL,51.7,Bachelor Of International Business (Mubs),MUBS,2024/25
1257,F,55,"KINAAWA HIGH SCHOOL, MUGONGO",53.2,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1258,F,16,"CALTEC ACADEMY, MAKERERE",51.8,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1259,F,55,CRANE HIGH SCHOOL,51.8,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1260,F,101,MISANVU SECONDARY SCHOOL,51.6,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1261,F,62,SEETA HIGH SCHOOL-MUKONO,51.6,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1262,F,16,GREEN LIGHT ISLAMIC S.S,51.6,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1263,F,120,"ST. BERNARD'S SS, MANNYA",51.4,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1264,F,35,NAALYA SS - LUGAZI,51.4,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1265,M,16,GAYAZA CAMBRIDGE COLLEGE,51.4,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1266,F,42,"SEETA H/S GREEN CAMPUS, MUKONO",51.4,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1267,F,76,SEETA HIGH SCHOOL,51.4,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
